ID,ESP2,ENG
F1_HIntro_01,HEROE: Por fin llegué a la Cripta del Goblin Maldito.,HERO: At last I arrived at the Cript of the Cursed Goblin.
F1_HIntro_02,Sus puertas me recibieron como fauces abiertas , Its gates greeted me like open jaws
F1_HIntro_03,y fui engullido por su perversa oscuridad, and I was gobbled by its wicked darkness
F1_Hspike_S01,Salté por encima del foso de pinchos sin recibir un solo rasguño.,I jumped over the spike trap without getting no harm!
F1_Hspike_S02,"¡Casi me caigo, pero por suerte reaccioné a tiempo!","I almost fell, but luckily my catlike reflexes saved me just in time!"
F1_Hspike_S03_01,"La muerte aguardaba en esos puntiagudos pinchos, ","
Death awaited on those sharp spikes,"
F1_Hspike_S03_02,pero la miré a los ojos le dije: hoy no.,but I look her in the eyes and said: not today
F1_Hspike_F01,¡Cuál fue mi sorpresa cuando caí en la trampa!,What was my surprise when I fell into that dreadful trap!
F1_Hspike_F02,"He de admitirlo, esos pinchazos no fueron precisamente agradables.","I must admit, those pricks were not nice at all"
F1_Hspike_F03,¡Aún tengo las marcas en la armadura!,I still have marks on my armour!
F1_Hpen_S01,"Pasé raudo y veloz por las cuchillas, sin que me rozasen.",I run through the knives as swiftly as the wind without they even got to touch me!
F1_Hpen_S02_01,"Ese baile de cuchillas era letal, ",Knives danced right in front of my eyes… 
F1_Hpen_S02_02,pero no hay mejor bailarín que yo.,But there's no better dancer than me. 
F1_Hpen_S03_01,"No mentiré, sentí miedo… ","I will not lie, I was afraid… "
F1_Hpen_S03_02,miedo de aburrirme con estas trampas tan pueriles.,Afraid of getting bored with such a childlish trap
F1_Hpen_F01_01,"Pensé que era rápido, ","I thought I was fast, but knives were faster"
F1_Hpen_F01_02,pero las cuchillas lo fueron más.,
F1_Hpen_F02,Cuando decía que necesitaba un corte no me refería a esto.,"When I'd said I wanted a cut, I didn't mean  this one "
F1_Hpen_F03,"Fue una caricia, una caricia dolorosa.","I felt it like a caress on my skin… Well, a painful one"
F1_Harrow_S01,Ni las flechas más certeras pudieron pararme,Not even the best-aimed arrows could stop me
F1_Harrow_S02,Atravesé la trampa sin recibir daño,I went through the trap without getting any harm
F1_Harrow_S03,Las únicas flechas que no soy capaz de esquivar son las de Cupido,They only arrows I am not able to avoid are Cupid's ones
F1_Harrow_F01,"Vale, alguna que otra me pinchó","Okay, maybe one or two hit me"
F1_Harrow_F02,¡Las muescas de mi armadura hablan por mí!,Slots on my armour speak for me!
F1_Harrow_F03,La humillación es la más venenosa de las flechas,Humilliation is the most poisonous of arrows
F1_Hslime_S01,"Prefiero que me lluevan los elogios, gracias.","I prefer to be showered with praise, thank you."
F1_Hslime_S02,Ni siquiera me rozó.,That does not even touched me.
F1_Hslime_S03,Un héroe nunca tiene miedo a mancharse un poco.,A hero is never afraid to get a little dirty
F1_Hslime_F01,¡Estas manchas de slime no salen con nada!.,"Those damn slime stains won't come out, I know"
F1_Hslime_F02,Decir que sentí asco se quedaría corto.,To say I felt nauseous would fall short
F1_Hslime_F03,Aún me estoy sacando slime de la ropa interior.,I am still removing slime from my underwear
F1_HChest_01,La curiosidad de saber qué albergaba en su interior me pudo.,The curiosity of knowing what was inside was stronger than myself.
F1_HChest_02,¿Lo que encontremos en un cofre nos lo podemos quedar o tenemos que declararlo?.,Do we have to declare what we find inside a chest or do we get to keep it?
F1_HChest_03,Dejar este tesoro en esta mazmorra infecta hubiese sido un sacrilegio,Leave that treasure inside that foul dungeon would have been a sacrilege
F1_Hpic_01,Las viejas glorias del pasado tienen sus ojos puestos en mí,Old glories from the past have their eyes on me
F1_Hpic_02,"Después de esta hazaña, quizá yo sea el próximo protagonista de un cuadro","After this great feat, perhaps I'll be the next to be painted"
F1_Hpic_03,Me sentía observado por sus vetustas miradas,I felt observed by their ancient eyes
F1_Hgob_S01,"Morid, malditos","Die, you cowards!"
F1_Hgob_S02,¡No sois rival para mi bravura!,You are no rival to my bravery!
F1_Hgob_S03,¡Volved al infierno del que salisteis!,Come back to hell you came from!
F1_Hgob_F01,No debí subestimarlos.,I shouldn't have underestimated them.
F1_Hgob_F02,A veces se me olvida lo escurridizos que son.,Sometimes I forget how slippery they are.
F1_Hgob_F03,Eso dolió.,"Ouch, that hurt."
F1_Pr_01,PRISIONERO: ¡Eh! ¿Qué pasa aquí? ¿Tú quién eres?  ,PRISONER: Oi! wha's thare? wha are ye?
F1_H_01_01,"HÉROE: ¡Saludos, amable prisionero! ","HERO: Greetings, friendly prisoner! "
F1_H_01_02,He venido a recorrer esta mazmorra y poner fin al malvado reino del terror del rey Goblin que aquí mora. ,I came to go down this dungeon and put an end to the reign of terror of the Goblin king! 
F1_H_01_03,Daré por finalizado su vil régimen con mi filo certero. ,I will end up his evil regime with my mighty sword.
F1_Pr_02,PRISIONERO: ¡Por fin! ¡Llevo décadas esperando a un héroe como tú!,PRISONER: Finally! A have waitit an eternity for a hero such as ye!
F1_H_02,"HÉROE: No se preocupe, he venido a rescatarle. ¿Qué le pasó?","HERO: Do not fear, I came to rescue you. What happened?"
F1_Pr_03,"PRISIONERO: El malvado rey goblin me encerró aquí hace más de cincuenta años, ya ni siquiera recuerdo la luz del sol... ",PRISONER: The evil goblin kin lockit me here more than fity years ago.
F1_H_03,"HÉROE: Pues sus días de cautiverio han terminado, anciano. ¡Vuele libre!","HERO: Your captivity days are over, elderly man. Fly free!"
F1_Pr_04,PRISIONERO:  ¡Que los dioses te bendigan!,PRISONER: Gods bless ye!
F2_H01,HÉROE: … Y así fue como pasó.,HERO: … and that's EXACTLY how it happened
F2_F01,FUNCIONARIO: Ahá… Y así consiguió el Scepter of the Fallen King.,EMPLOYEE: Aha… That's how you got the Scepter of the Fallen King.
F2_H02,HÉROE: Así es.,HERO: That's right.
F2_F02,FUNCIONARIO: Y por eso viene a reclamar su licencia de héroe.,EMPLOYEE: And that is why you are here to claim for your hero licence.
F2_H03,HÉROE: Yep. ,HERO: Yep.
F2_F03,FUNCIONARIO:  Recibirá su licencia en un periodo de 2 a 3 lunas hábiles…,"EMPLOYEE: Ok, you will receive your hero licence within two or three business moons…"
F2_H04,HÉROE: ¡Magnífico!,HERO: Awesome!
F2_F04,FUNCIONARIO: … siempre y cuando supere nuestra auditoría.,EMPLOYEE: … once you pass our audit.
F2_H05,HÉROE: ¿Cómo?,"HERO: Sorry, what?"
